symbol,name
Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares,Category
AACB,Artius II Acquisition Inc.,Artius II Acquisition Inc. - Class A Ordinary Shares,G,N,N,100.0,N,N,NASDAQ
AACBR,Artius II Acquisition Inc.,Artius II Acquisition Inc. - Rights,G,N,N,100.0,N,N,NASDAQ
AACBU,Artius II Acquisition Inc.,Artius II Acquisition Inc. - Units,G,N,N,100.0,N,N,NASDAQ
AACG,ATA Creativity Global,"ATA Creativity Global - American Depositary Shares, each representing two common shares",S,N,D,100.0,N,N,NASDAQ
AACI,Armada Acquisition Corp. II,Armada Acquisition Corp. II - Class A Ordinary Shares,G,N,N,100.0,N,N,NASDAQ
AACIU,Armada Acquisition Corp. II,Armada Acquisition Corp. II - Units,G,N,N,100.0,N,N,NASDAQ
AACIW,Armada Acquisition Corp. II,Armada Acquisition Corp. II - Warrant,G,N,N,100.0,N,N,NASDAQ
AADR,AdvisorShares Dorsey Wright ADR ETF,AdvisorShares Dorsey Wright ADR ETF,G,N,N,100.0,Y,N,NASDAQ
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AAME,Atlantic American Corporation,Atlantic American Corporation - Common Stock,G,N,N,100.0,N,N,NASDAQ
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. - Common Stock",G,N,N,100.0,N,N,NASDAQ
AAON,"AAON, Inc.","AAON, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AAPB,GraniteShares 2x Long AAPL Daily ETF,GraniteShares 2x Long AAPL Daily ETF,G,N,N,100.0,Y,N,NASDAQ
AAPD,Direxion Daily AAPL Bear 1X Shares,Direxion Daily AAPL Bear 1X Shares,G,N,N,100.0,Y,N,NASDAQ
AAPG,Ascentage Pharma Group International,Ascentage Pharma Group International - American Depository Shares,G,N,N,100.0,N,N,NASDAQ
AAPL,Apple Inc.,Apple Inc. - Common Stock,Q,N,N,100.0,N,N,NASDAQ
AAPU,Direxion Daily AAPL Bull 2X Shares,Direxion Daily AAPL Bull 2X Shares,G,N,N,100.0,Y,N,NASDAQ
AARD,"Aardvark Therapeutics, Inc.","Aardvark Therapeutics, Inc. - Common Stock",Q,N,N,100.0,N,N,NASDAQ
AAVM,Alpha Architect Global Factor Equity ETF,Alpha Architect Global Factor Equity ETF,G,N,N,100.0,Y,N,NASDAQ
AAXJ,iShares MSCI All Country Asia ex Japan ETF,iShares MSCI All Country Asia ex Japan ETF,G,N,N,100.0,Y,N,NASDAQ
ABAT,American Battery Technology Company,American Battery Technology Company - Common Stock,S,N,N,100.0,N,N,NASDAQ
ABCL,AbCellera Biologics Inc.,AbCellera Biologics Inc. - Common Shares,Q,N,N,100.0,N,N,NASDAQ
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,G,N,N,100.0,Y,N,NASDAQ
ABEO,Abeona Therapeutics Inc.,Abeona Therapeutics Inc. - Common Stock,S,N,N,100.0,N,N,NASDAQ
ABI,VictoryShares Pioneer Asset-Based Income ETF,VictoryShares Pioneer Asset-Based Income ETF,G,N,N,100.0,Y,N,NASDAQ
ABIG,Argent Large Cap ETF,Argent Large Cap ETF,G,N,N,100.0,Y,N,NASDAQ
ABL,"Abacus Global Management, Inc.","Abacus Global Management, Inc. - Class A Common Stock",S,N,N,100.0,N,N,NASDAQ
